,Date,Time,contact,Message
55,2019-09-27,4:55 PM,Success,Hmm
56,2019-09-27,4:56 PM,Mina,Sorry enh
57,2019-09-27,4:57 PM,Success,No p
58,2019-09-27,4:58 PM,Mina,Cook err🤪
59,2019-09-27,4:59 PM,Success,The keys r wif u
60,2019-09-27,4:59 PM,Mina,I told u to take it n u ddnt
61,2019-09-27,4:59 PM,Mina,Cook I don't care how you do it
62,2019-09-27,4:59 PM,Success,Yh I didn't think of cooking
63,2019-09-27,5:00 PM,Mina,Yoo
64,2019-09-27,5:00 PM,Success,😂😂🤷‍♂
65,2019-09-27,5:00 PM,Mina,So wat will we eat
66,2019-09-27,5:02 PM,Success,I am for seeing fried😂😂😂
67,2019-09-27,5:03 PM,Mina,Eii😂😂😂
68,2019-09-27,5:03 PM,Mina,Oh nice nice
69,2019-09-27,5:03 PM,Mina,U think I won't support you?
70,2019-09-27,5:04 PM,Success,Hw3😂😂😂
71,2019-09-27,5:04 PM,Success,Yh oo😂😂😂
72,2019-09-27,5:04 PM,Mina,Hw3
73,2019-09-27,5:04 PM,Mina,I'm hungry oo
74,2019-09-27,5:05 PM,Mina,So cooking is out
75,2019-09-27,5:06 PM,Success,Yh
76,2019-09-27,5:06 PM,Success,Stew dey
77,2019-09-27,5:06 PM,Mina,Nuuuh
78,2019-09-27,5:07 PM,Success,Then was I suppose d to cook?
79,2019-09-27,5:07 PM,Success,Stew n rice?
80,2019-09-27,5:07 PM,Success,Indomie too dey oo
81,2019-09-27,5:08 PM,Mina,😆😆😆
82,2019-09-27,5:08 PM,Mina,Oh masa
83,2019-09-27,5:08 PM,Mina,I don't eat indomie😆
84,2019-09-27,5:10 PM,Success,I see where u r coming from😂😂😂
85,2019-09-27,5:10 PM,Mina,😆
86,2019-09-27,5:10 PM,Success,U r denying indomie today
87,2019-09-27,5:10 PM,Success,😂😂
88,2019-09-27,5:12 PM,Mina,😂😂
89,2019-09-27,5:12 PM,Mina,Nana  im seriously hungry oo
90,2019-09-27,5:13 PM,Mina,My heart is skipping beats
91,2019-09-27,5:14 PM,Success,Aye serious
92,2019-09-27,5:14 PM,Success,Wen u come we will no wat to do
93,2019-09-27,5:14 PM,Mina,😫😫😫I should come and think ?
94,2019-09-27,5:16 PM,Success,I don't won't the food to be cold
95,2019-09-27,5:16 PM,Mina,I'm coming
96,2019-09-27,5:16 PM,Success,We also don't no wen the rain will stop
97,2019-09-27,5:17 PM,Mina,Hmm
98,2019-09-27,5:17 PM,Mina,The class won't come off
99,2019-09-27,5:17 PM,Success,Alryt
100,2019-09-27,5:18 PM,Success,I forsaw it
101,2019-09-27,5:18 PM,Success,When r u now
102,2019-09-27,5:23 PM,Success,Lights out🙆‍♂
103,2019-09-27,8:20 PM,Mina,Yiee
104,2019-09-27,9:16 PM,Mina,Eii Nana
105,2019-09-27,9:17 PM,Mina,Issokay I won't eat again
106,2019-09-27,9:17 PM,Mina,Wat at all r u doing with the boys
107,2019-09-27,9:43 PM,Success,Oh sorry
108,2019-09-30,7:36 AM,Mina,Our class was shifted oo
109,2019-09-30,7:36 AM,Mina,Herh
110,2019-09-30,7:37 AM,Mina,I wore my dress n everything. It was already time
111,2019-09-30,7:37 AM,Mina,Den something told me to go online
112,2019-09-30,7:38 AM,Mina,Like as I go online naa.
113,2019-09-30,7:38 AM,Success,Wow
114,2019-09-30,7:38 AM,Mina,Den sambro post say it has been shifted to 12
115,2019-09-30,7:39 AM,Mina,"Der norr I started dropping my things n I was singing""Jesus you love me too much oo""😂😂😂😂"
116,2019-09-30,7:39 AM,Success,U make lucky oo
117,2019-09-30,7:39 AM,Mina,Aswear
118,2019-09-30,7:39 AM,Success,😂😂😂😂
119,2019-09-30,7:40 AM,Mina,"If I hadn't bathed , anka I'd have pre saa n gone to campus"
120,2019-09-30,7:40 AM,Success,Yh
121,2019-09-30,7:43 AM,Success,So bathing saved ur life😂😂😂
122,2019-09-30,7:45 AM,Mina,Oh mese
123,2019-09-30,7:45 AM,Mina,U haven't closed?
124,2019-09-30,7:46 AM,Success,Yh returning
125,2019-09-30,7:46 AM,Mina,Waky3 papa
126,2019-09-30,7:46 AM,Success,Coming
127,2019-09-30,7:47 AM,Mina,Kk
128,2019-09-30,8:09 AM,Mina,Don't forget to wake me up oo
129,2019-09-30,8:09 AM,Success,No worries
130,2019-09-30,8:09 AM,Success,Sleep tight
131,2019-09-30,8:09 AM,Success,U hv an hour
132,2019-09-30,8:11 AM,Success,Brofo nana
133,2019-09-30,11:37 AM,Mina,Herh🙄😂
134,2019-09-30,11:37 AM,Mina,I'm back oo
135,2019-09-30,11:37 AM,Mina,Another class at 1230
136,2019-09-30,11:38 AM,Mina,I can hear the boys making noise in ur room
137,2019-09-30,1:18 PM,Success,It was Joseph's friends
138,2019-09-30,1:19 PM,Success,Was in class by then
139,2019-09-30,1:19 PM,Success,That's when I closed
140,2019-09-30,1:19 PM,Success,Anoda at 2.30
141,2019-09-30,2:28 PM,Mina,Ohkk
142,2019-10-02,12:09 PM,Success,Hey sunshine
143,2019-10-02,12:09 PM,Mina,😟
144,2019-10-02,12:10 PM,Success,Why Wats wrong
145,2019-10-02,12:10 PM,Mina,I'm hungry
146,2019-10-02,12:10 PM,Mina,The rain too 🤦‍♀
147,2019-10-02,12:10 PM,Mina,Now I have 3hours again
148,2019-10-02,12:11 PM,Success,U should hv pass through
149,2019-10-02,12:12 PM,Mina,It was serious oo
150,2019-10-02,12:12 PM,Mina,I tried
151,2019-10-02,12:14 PM,Success,Me saf I hv anoda class
152,2019-10-02,12:14 PM,Success,I am leaving
153,2019-10-02,12:43 PM,Mina,Kk
154,2019-10-02,4:34 PM,Mina,I'm now back😢
155,2019-10-02,4:35 PM,Mina,Herh mabr3 bia
156,2019-10-02,4:41 PM,Success,Maba
157,2019-10-02,4:41 PM,Success,Same here oo
158,2019-10-02,4:41 PM,Success,So u plete 4 the day?
159,2019-10-02,5:10 PM,Mina,Yh
160,2019-10-02,5:10 PM,Mina,My head enh
161,2019-10-02,5:11 PM,Mina,It's like they have smashed it against something
162,2019-10-02,5:11 PM,Mina,I'm even shaking
163,2019-10-02,5:11 PM,Mina,Today de3 deyve killed me.
164,2019-10-02,6:32 PM,Success,Ene3 easy oo
165,2019-10-02,6:33 PM,Success,Tot u r asleep
166,2019-10-02,6:33 PM,Success,Was bring the stew so u would heat it for me
167,2019-10-02,6:33 PM,Success,I suspect our gas is finished
168,2019-10-02,6:34 PM,Mina,Wah happened to ur burner
169,2019-10-02,6:34 PM,Success,I cant really tell
170,2019-10-02,6:34 PM,Success,I am now on my way to cobbys place
171,2019-10-02,6:35 PM,Success,He said should check on something for him
172,2019-10-02,6:37 PM,Success,Make sure u rest
173,2019-10-02,8:39 PM,Mina,Hey
174,2019-10-02,8:59 PM,Success,Will u go for the group studies?
175,2019-10-02,9:18 PM,Mina,Yh
176,2019-10-02,9:18 PM,Mina,Where are you
177,2019-10-02,9:19 PM,Success,Will be on my way back very soon
178,2019-10-02,9:19 PM,Success,I will need ur lab coat moro
179,2019-10-02,9:21 PM,Success,Hv u left already?
180,2019-10-02,9:21 PM,Success,One back
181,2019-10-02,9:22 PM,Mina,I don't have lab coat
182,2019-10-02,9:24 PM,Success,Oh🙆‍♂🙆‍♂🙆‍♂🙆‍♂🙆‍♂
183,2019-10-02,9:24 PM,Mina,Dey said deyre collecting money for prepaid
184,2019-10-02,9:24 PM,Success,I am coming
185,2019-10-02,9:26 PM,Success,Oh ampa?
186,2019-10-03,2:04 AM,Mina,😕
187,2019-10-03,2:04 AM,Mina,I'm now sreeping
188,2019-10-03,2:04 AM,Mina,I came to knock on ur door I guess u ddnt hear me
189,2019-10-03,7:18 AM,Success,Yh was asleep by then
190,2019-10-03,7:18 AM,Success,Gm
191,2019-10-03,7:19 AM,Success,That's when u return?
192,2019-10-03,7:27 AM,Mina,Yh
193,2019-10-03,7:27 AM,Mina,Gm
194,2019-10-03,7:31 AM,Success,Was far gone by then
195,2019-10-03,7:31 AM,Mina,No
196,2019-10-03,7:31 AM,Mina,Yawa
197,2019-10-03,7:32 AM,Success,Ayt
198,2019-10-03,7:32 AM,Success,No morning class?
199,2019-10-03,11:12 AM,Mina,Don't u have a class
200,2019-10-03,11:47 AM,Success,Yh
201,2019-10-03,11:47 AM,Success,Until 5.30
202,2019-10-03,12:24 PM,Mina,Lol
203,2019-10-03,2:34 PM,Success,Closed?
204,2019-10-03,2:40 PM,Mina,Oh Charlie
205,2019-10-03,2:40 PM,Mina,Im looking for worms oo
206,2019-10-03,2:40 PM,Mina,Lol
207,2019-10-03,7:07 PM,Success,😂😂😂
208,2019-10-03,7:08 PM,Success,Check in Australian gutter😂😂
209,2019-10-03,11:20 PM,Mina,🤦‍♀😆
210,2019-10-04,6:30 PM,Mina,Nana
211,2019-10-04,6:31 PM,Mina,So uve forgotten our syntax enh.
212,2019-10-04,6:31 PM,Mina,When I call n quickly hang up uve forgotten that it means you should come online?
213,2019-10-04,6:31 PM,Mina,I won't call you again till u come online.
214,2019-10-04,6:31 PM,Mina,I'm angry
215,2019-10-04,7:00 PM,Success,Oh naa I hvnt
216,2019-10-04,7:00 PM,Success,Na I make shi
217,2019-10-04,7:00 PM,Success,Na I dey come score goal😂
218,2019-10-04,7:01 PM,Mina,Tswwwwwwwwwwww
219,2019-10-04,7:02 PM,Success,😂😂😂
220,2019-10-06,8:52 PM,Mina,Yesterday. As I was here .   I suddenly started getting heart aches . Then I went to knock on ur door . I knocked for a long time . Cos I thought u would be inside . I ddnt know uve started attending those programs . N I called you. I called you. I called you. I called you. I called afoley. I called zibit . I called Naomi. No one answered. The thing was getting out of hand . So I decided to go home  though i wasn't walking well. I wasn't even breathing well. Then some girls bi downstairs took me to their room ... Hmm. So that's where I slept yesterday till this morning. They knew me from nowhere bh they treated me asif they did. It wasn't easy for me . N u come back from nowhere n think you can come and smile with me .
221,2019-10-06,8:53 PM,Mina,I haven't told Gertrude this. She thought I slept in ur room
222,2019-10-06,9:12 PM,Success,Hmmm...
223,2019-10-06,9:13 PM,Success,This is serious
224,2019-10-06,9:14 PM,Mina,😏
225,2019-10-06,9:14 PM,Success,"As I said earlier, I didn't mean for any of this to happen"
226,2019-10-06,9:15 PM,Success,You know I don't miss your calls
227,2019-10-06,9:15 PM,Mina,It's like a story . Myself I don't really get how the whole thing happened. To sleep in a stranger's room n all
228,2019-10-06,9:15 PM,Mina,Couldn't you have told me when u were leaving?
229,2019-10-06,9:15 PM,Success,I mean deliberately
230,2019-10-06,9:16 PM,Success,Yh I should have called
231,2019-10-06,9:16 PM,Success,That was bad on my side
232,2019-10-06,9:16 PM,Mina,Yoo
233,2019-10-06,9:17 PM,Success,Hope it's better today
234,2019-10-06,9:17 PM,Success,I see u r a lil active today
235,2019-10-06,9:17 PM,Mina,Now it's not important how bad it was on ur side. The point is anything could have happened to me
236,2019-10-06,9:18 PM,Mina,Don't you dare ask me
237,2019-10-06,9:19 PM,Success,Hmm...
238,2019-10-06,9:19 PM,Success,Oh yh that is very true
239,2019-10-06,9:21 PM,Success,Sorry for what happened yesterday
240,2019-10-06,9:23 PM,Mina,You don't have to be sorry for anything you attended to what was important to you
241,2019-10-06,9:24 PM,Success,😔
242,2019-10-06,9:26 PM,Mina,That's the truth
243,2019-10-06,9:27 PM,Mina,Would it have been worth it if u came back to hear any bad news just because u wanted to have fun when anyone around could have helped
244,2019-10-06,9:28 PM,Success,Please don't be saying that
245,2019-10-06,9:29 PM,Success,I am feeling bad already
246,2019-10-06,9:36 PM,Success,😔😔😔
247,2019-10-06,9:37 PM,Mina,Don't give me that look
248,2019-10-06,9:38 PM,Success,Seriously oo I didn't mean any off that
249,2019-10-06,9:39 PM,Mina,How come u went to valco
250,2019-10-06,9:39 PM,Mina,The u I know doesn't attend those stuff
251,2019-10-06,9:40 PM,Success,I was bored
252,2019-10-06,9:42 PM,Mina,Oh nice
253,2019-10-06,9:44 PM,Success,But I had to at least inform u
254,2019-10-06,9:44 PM,Success,That 1 deir I no do well koraa
255,2019-10-06,9:47 PM,Mina,It's not important now
256,2019-10-06,9:48 PM,Mina,If when I needed u was when u were bored so went out then there's no point in being around you .
257,2019-10-06,9:49 PM,Success,It's Asif I knew but ignored
258,2019-10-06,9:49 PM,Success,I had no idea that would happen
259,2019-10-06,9:49 PM,Success,I wouldn't gone out
260,2019-10-06,9:49 PM,Success,And you know that very well
261,2019-10-06,9:50 PM,Mina,I don't know anything
262,2019-10-06,9:50 PM,Success,You know there is no way I would have left if I knew about it
263,2019-10-06,9:51 PM,Success,Hmm...
264,2019-10-06,9:58 PM,Mina,N the other day too you disgraced me Infront of ur friend
265,2019-10-06,9:58 PM,Mina,Bcos if used ur credit🤦‍♀
266,2019-10-06,9:58 PM,Mina,Credit oo hm.
267,2019-10-06,10:01 PM,Mina,Ehard oo.
268,2019-10-06,10:01 PM,Mina,That thing got my soul. Herh
269,2019-10-06,10:01 PM,Mina,I'm like if anything a should it be credit?
270,2019-10-06,10:04 PM,Mina,Nana how many times do I use ur credit.? . I used it bcos earlier i bought bundle from mtn bh the network wasn't favourable. I was even asking Joseph if he was also facing the same problems.
271,2019-10-06,10:05 PM,Mina,N I fetched myself the trouble of using ur data
272,2019-10-06,10:11 PM,Success,Sorry about that day
273,2019-10-06,10:13 PM,Mina,That's all u can say
274,2019-10-06,10:13 PM,Mina,Well-done
275,2019-10-06,10:14 PM,Success,I don't want to talk plenty sekof I hv already apologize d
276,2019-10-06,10:15 PM,Success,I realize instantly that wat I did was bad
277,2019-10-06,10:18 PM,Success,🥰
278,2019-10-06,10:21 PM,Mina,Who told u to give an answer
279,2019-10-06,10:22 PM,Success,😂😂😂🙆‍♂
280,2019-10-06,10:34 PM,Mina,It's not funny is it ?
281,2019-10-06,11:06 PM,Mina,So u won't apologize to me enh
282,2019-10-06,11:10 PM,Success,*Sorry*
283,2019-10-06,11:12 PM,Mina,Just sorry enh
284,2019-10-06,11:12 PM,Mina,How many times did I call you yesterday?
285,2019-10-06,11:12 PM,Success,For everything I did😔
286,2019-10-06,11:12 PM,Success,*18*
287,2019-10-06,11:15 PM,Mina,"Ok so ull apologize for 18 days . After then, I'll decide to forgive u or not"
288,2019-10-06,11:16 PM,Success,Alright
289,2019-10-06,11:16 PM,Success,No p
290,2019-10-24,4:29 AM,Mina,Nana
291,2019-10-24,4:29 AM,Mina,I've reached
292,2019-10-24,4:29 AM,Mina,Like an hour ago
293,2019-10-24,11:09 AM,Success,Good
294,2019-10-24,11:10 AM,Success,Remember my adinkra oo
295,2019-10-24,11:10 AM,Mina,🤦‍♀
296,2019-10-24,11:10 AM,Success,Don't tell me you have forgotten
297,2019-10-24,11:11 AM,Mina,So u as adey sick u won't even ask me how I'm doing
298,2019-10-24,11:11 AM,Success,Like I will whirp u
299,2019-10-24,11:11 AM,Mina,Yesterday all
300,2019-10-24,11:11 AM,Mina,Come n whip me
301,2019-10-24,11:11 AM,Mina,I won't buy it
302,2019-10-24,11:11 AM,Success,Oh yh yh my bad
303,2019-10-24,11:11 AM,Mina,Must I tell you everything before you do it
304,2019-10-24,11:11 AM,Success,I didn't yestee because u looked fine
305,2019-10-24,11:12 AM,Success,My bad
306,2019-10-24,11:12 AM,Mina,How much did it cost to ask me
307,2019-10-24,11:12 AM,Mina,Tell me
308,2019-10-24,11:12 AM,Mina,Don't tell me that English
309,2019-10-24,11:13 AM,Success,How are you doing?
310,2019-10-24,11:14 AM,Success,Notin
311,2019-10-24,11:14 AM,Success,You were looking okay yestee that's why I didn't ask
312,2019-10-24,11:26 AM,Mina,So ur explaining y u ddnt ask
313,2019-10-24,11:27 AM,Mina,So even im well wat harm will it cause
314,2019-10-24,11:33 AM,Success,It doesn'tmy bad
315,2019-10-25,7:36 AM,Success,How are you doing dear?
316,2019-10-25,7:37 AM,Mina,I'm good
317,2019-10-25,7:37 AM,Mina,U?
318,2019-10-25,7:38 AM,Success,BHIG I am also fine
319,2019-10-25,7:38 AM,Mina,WTG
320,2019-10-25,7:38 AM,Success,Gone to class yet?
321,2019-10-25,7:38 AM,Mina,I don't have class on Friday mornings again
322,2019-10-25,7:39 AM,Success,Oh okay
323,2019-10-30,4:18 PM,Success,😂😂😂😂
324,2019-10-31,8:07 PM,Mina,Nana
325,2019-10-31,8:07 PM,Mina,Nana
326,2019-10-31,8:07 PM,Mina,Nana
327,2019-10-31,8:07 PM,Mina,Nana
328,2019-10-31,8:07 PM,Mina,Nana
329,2019-10-31,8:07 PM,Mina,Nana
330,2019-10-31,8:07 PM,Mina,Nana
331,2019-10-31,8:07 PM,Mina,Nana
332,2019-10-31,8:07 PM,Mina,Nana
333,2019-10-31,8:07 PM,Mina,Nana
334,2019-10-31,8:07 PM,Mina,Nana
335,2019-10-31,8:08 PM,Success,I am coming
336,2019-11-01,8:31 AM,Success,Coming?
337,2019-11-01,8:33 AM,Mina,Yh
338,2019-11-01,8:33 AM,Success,Ayt
339,2019-11-01,12:42 PM,Mina,<Media omitted>
340,2019-11-01,12:43 PM,Mina,<Media omitted>
341,2019-11-01,1:43 PM,Success,Ayt
342,2019-11-01,8:44 PM,Mina,Nana
343,2019-11-01,9:20 PM,Success,Yesss Mina
344,2019-11-01,9:24 PM,Mina,Wossop
345,2019-11-01,10:01 PM,Mina,Nana
346,2019-11-01,10:01 PM,Mina,Come online
347,2019-11-01,10:08 PM,Success,I am herr
348,2019-11-01,10:09 PM,Success,Where is she
349,2019-11-01,10:29 PM,Success,Mina
350,2019-11-02,10:16 AM,Mina,Yees
351,2019-11-02,10:16 AM,Mina,Gm
352,2019-11-02,2:44 PM,Success,How r doing?
353,2019-11-02,5:53 PM,Mina,I'm good
354,2019-11-02,5:54 PM,Mina,So u can't even call to ask me how I'm faring
355,2019-11-02,5:54 PM,Mina,Hmm
356,2019-11-02,7:20 PM,Success,I just called you oo
357,2019-11-02,7:20 PM,Success,No answer
358,2019-11-02,7:20 PM,Success,About 10mins ago
359,2019-11-02,7:23 PM,Success,My phone just came alive
360,2019-11-02,7:23 PM,Success,Sunshine went to knh with his charger
361,2019-11-02,7:23 PM,Success,Since yesterday
362,2019-11-02,7:23 PM,Success,He's not back yet
363,2019-11-02,7:23 PM,Success,So the phone went off
364,2019-11-02,7:24 PM,Success,So i went to power it a lil at cobbys place
365,2019-11-02,7:30 PM,Mina,Yoo
366,2019-11-02,8:02 PM,Success,Will you be coming today?
367,2019-11-03,5:29 PM,Mina,No
368,2019-11-04,7:57 AM,Success,Ur big head
369,2019-11-04,9:10 AM,Mina,Like urs
370,2019-11-04,9:10 AM,Mina,Ampedu
371,2019-11-04,10:23 AM,Success,I over slept oo
372,2019-11-07,9:21 PM,Mina,I missed your call
373,2019-11-07,10:25 PM,Success,How are you doing?
374,2019-11-12,1:21 AM,Mina,Nana
375,2019-11-12,1:22 AM,Mina,Do you know what happened to me about a week ago
376,2019-11-12,1:22 AM,Mina,Hmm
377,2019-11-12,8:30 AM,Success,Tell Everyone about it
378,2019-11-12,8:31 AM,Success,Me*
379,2019-11-12,12:39 PM,Success,Learn
380,2019-11-12,12:40 PM,Mina,Okay😭
381,2019-11-12,12:40 PM,Mina,The thing has been shifted too
382,2019-11-12,12:40 PM,Mina,From 5to 3
383,2019-11-12,12:40 PM,Mina,Adon die
384,2019-11-12,12:40 PM,Success,Oohh🙆‍♂🙆‍♂🙆‍♂
385,2019-11-12,12:40 PM,Mina,Hmm
386,2019-11-12,12:41 PM,Mina,Bye bye wai
387,2019-11-12,12:41 PM,Success,Bye
388,2019-11-12,12:42 PM,Success,Let it end in tears of joy 🤞
389,2019-11-13,6:54 PM,Success,Yoo
390,2019-11-13,6:56 PM,Mina,Yh
391,2019-11-13,6:56 PM,Mina,Charlie it has ended in tears for me oo
392,2019-11-13,7:37 PM,Success,Hmm...
393,2019-11-14,11:27 AM,Success,U no start yet?
394,2019-11-14,11:28 AM,Mina,No
395,2019-11-14,11:28 AM,Mina,Something is doing me
396,2019-11-14,11:29 AM,Mina,Like what happened to me sometime in knh no
397,2019-11-14,11:29 AM,Mina,I can't breadth well
398,2019-11-14,11:29 AM,Success,Can you come back?
399,2019-11-14,11:30 AM,Mina,I don't have to miss this class
400,2019-11-14,11:31 AM,Mina,"Once Im not dead , the man will not understand"
401,2019-11-14,11:31 AM,Mina,I even left my lab coat and shoes in the hostel
402,2019-11-14,11:31 AM,Mina,Bh I can't come for it
403,2019-11-14,11:31 AM,Success,Will they allow u in the lab?
404,2019-11-14,11:32 AM,Mina,Ive taken Gertrude's lab coat
405,2019-11-14,11:32 AM,Success,Ohk
406,2019-11-14,11:32 AM,Mina,If he won't allow me in I'll come and sleep
407,2019-11-14,11:32 AM,Success,I am sure he will understand if you explain
408,2019-11-14,11:34 AM,Mina,He won't
409,2019-11-14,11:34 AM,Mina,Hes not a human being
410,2019-11-14,11:36 AM,Success,Oh charlie
411,2019-11-14,11:36 AM,Success,Let hope he doesn't see you then
412,2019-11-14,7:01 PM,Mina,Nana
413,2019-11-14,7:01 PM,Mina,I've come home
414,2019-11-14,7:02 PM,Mina,When I opened my eyes naa then I got a call from my senior sister
415,2019-11-14,7:02 PM,Mina,That I should come home if I can na mom is sick
416,2019-11-14,7:02 PM,Mina,I should hurry up
417,2019-11-14,7:02 PM,Mina,Herh.
418,2019-11-14,7:02 PM,Mina,My heart skipped a beat
419,2019-11-14,7:02 PM,Mina,Like I should fly
420,2019-11-14,7:03 PM,Mina,And bcos of the football too no abura car
421,2019-11-14,7:06 PM,Mina,The way I jumped into one taxi bi that I saw around enh
422,2019-11-14,7:06 PM,Mina,All my brothers have left home to go to stadium and as mom is sick like that no she was the only one at home.
423,2019-11-14,7:07 PM,Mina,I make shi oo
424,2019-11-14,7:07 PM,Mina,And she hasn't eaten seff
425,2019-11-14,7:07 PM,Mina,Ehard oo
426,2019-11-14,7:07 PM,Mina,She was alone at home
427,2019-11-14,7:07 PM,Mina,As I come I bore saaa
428,2019-11-14,7:07 PM,Success,I take care of her
429,2019-11-14,7:08 PM,Mina,Eii Charlie. Which stupid thing is that . You Leave ur sick mother alone in the house and go watch football
430,2019-11-14,7:08 PM,Success,Is it very serious?
431,2019-11-14,7:08 PM,Mina,It is
432,2019-11-14,7:08 PM,Mina,Talking seff is not papa biaa like that
433,2019-11-14,7:08 PM,Success,Oh then they force
434,2019-11-14,7:09 PM,Success,It's very bad
435,2019-11-14,7:11 PM,Mina,Jnr sis has travelled
436,2019-11-14,7:11 PM,Mina,Senior sis too doesn't live with us
437,2019-11-14,7:12 PM,Mina,Oh 🤦‍♀
438,2019-11-14,7:12 PM,Mina,My brothers no force
439,2019-11-14,7:12 PM,Mina,Mom hasn't eaten seff
440,2019-11-14,7:13 PM,Mina,I asked her she said no . Na she was waiting for the boys to come before they get her something
441,2019-11-14,7:13 PM,Success,Oh Charlie
442,2019-11-14,7:13 PM,Success,She will fell bad saf
443,2019-11-14,7:13 PM,Mina,Are dey mad ?
444,2019-11-14,7:14 PM,Mina,She's talking now
445,2019-11-14,7:14 PM,Mina,Small small
446,2019-11-14,7:14 PM,Mina,It means she was hungry😭
447,2019-11-14,7:14 PM,Mina,Eii.
448,2019-11-14,7:14 PM,Mina,Smh
449,2019-11-14,7:14 PM,Mina,Ashe me saa
450,2019-11-14,7:14 PM,Mina,So like u can't suspend this nonsense football for the one who gave birth to you
451,2019-11-14,7:15 PM,Mina,Are they mad?
452,2019-11-14,7:15 PM,Mina,So like if something had happened to her bcos she needed something and there was no one around
453,2019-11-14,7:15 PM,Mina,They owe it to football
454,2019-11-14,7:15 PM,Success,Seriously oo how can dey do that
455,2019-11-14,7:15 PM,Mina,I swear to God they'll come and meet me here
456,2019-11-14,7:15 PM,Mina,Deyll come and meet me
457,2019-11-14,7:16 PM,Success,It will hear been the biggest regret of their lives
458,2019-11-14,7:16 PM,Mina,Hmm
459,2019-11-14,7:18 PM,Mina,She's talking now
460,2019-11-14,7:18 PM,Mina,How could they
461,2019-11-14,7:19 PM,Success,Hmm
462,2019-11-14,7:25 PM,Mina,Is Gertrude back?
463,2019-11-14,7:26 PM,Success,Yh
464,2019-11-14,7:26 PM,Success,She said she came to meet the door unlocked
465,2019-11-14,8:30 PM,Mina,Yh oo
466,2019-11-14,8:30 PM,Mina,Mese
467,2019-11-14,8:30 PM,Mina,Na I make confused oo
468,2019-11-14,8:31 PM,Success,Asem oo
469,2019-11-14,8:31 PM,Success,You shouldn't do that next ayt
470,2019-11-14,8:32 PM,Success,Was she around or she had gone for class
